formal_label,run_name,run_id,step,training_global_step,actor_entropy,actor_kl_loss,actor_ppo_kl,actor_pg_loss,train_response_length_mean,val_reward_mean,val_reward_pass1,val_aux_response_length_mean,val_token_entropy_mean,val_low_confidence_ratio,val_token_response_length_mean,val_top1_prob_mean,val_eos_prob_mean,val_topk_mass_mean,val_analyzed_samples,val_analyzed_sample_fraction
Base small-group ablation (n=1),base_c_n1_group_ablation_rerun180_2gpu_restart_20260405_213719,wr5lx7fw6wf99u6o9h4m0,130,130.0,0.1223173588514328,0.0040002111563808,-1.341366578344605e-05,-226.91525745391849,527.59375,,,,,,,,,,,
Base small-group ablation (n=1),base_c_n1_group_ablation_rerun180_2gpu_restart_20260405_213719,wr5lx7fw6wf99u6o9h4m0,131,131.0,0.1160956919193267,0.0042503450531512,0.0002564734409133,-230.4231195449829,498.140625,,,,,,,,,,,
Base small-group ablation (n=1),base_c_n1_group_ablation_rerun180_2gpu_restart_20260405_213719,wr5lx7fw6wf99u6o9h4m0,132,132.0,0.1342736631631851,0.0040154434900614,7.373451239800488e-06,-221.5634524822235,565.265625,0.516,0.516,627.375,0.2500109075431116,0.0468469814704124,627.375,0.9177064226784776,0.0014907384884742,0.9907917984929973,64.0,0.128
Base small-group ablation (n=1),base_c_n1_group_ablation_rerun180_2gpu_restart_20260405_213719,wr5lx7fw6wf99u6o9h4m0,133,133.0,0.1316152662038803,0.004203053897072,-9.70416267591645e-05,-235.7021691799164,521.0625,,,,,,,,,,,
Base small-group ablation (n=1),base_c_n1_group_ablation_rerun180_2gpu_restart_20260405_213719,wr5lx7fw6wf99u6o9h4m0,134,134.0,0.1142205223441124,0.0041246612017857,4.615660736817517e-05,-235.7983536720276,519.765625,,,,,,,,,,,
Base small-group ablation (n=1),base_c_n1_group_ablation_rerun180_2gpu_restart_20260405_213719,wr5lx7fw6wf99u6o9h4m0,135,135.0,0.1149105504155159,0.0042175595881417,-2.8701550490950467e-05,-256.029676437378,506.0,,,,,,,,,,,
Base small-group ablation (n=1),base_c_n1_group_ablation_rerun180_2gpu_restart_20260405_213719,wr5lx7fw6wf99u6o9h4m0,136,136.0,0.116613745689392,0.0045898413227405,-0.0002178181421186,-256.08074951171875,511.265625,,,,,,,,,,,
Base small-group ablation (n=1),base_c_n1_group_ablation_rerun180_2gpu_restart_20260405_213719,wr5lx7fw6wf99u6o9h4m0,137,137.0,0.1152598336338996,0.0046498722804244,0.0001239924397395,-249.18126010894773,503.78125,,,,,,,,,,,
Base small-group ablation (n=1),base_c_n1_group_ablation_rerun180_2gpu_restart_20260405_213719,wr5lx7fw6wf99u6o9h4m0,138,138.0,0.1683994829654693,0.0045088327751727,5.860047485839459e-05,-228.8864827156067,548.921875,0.57,0.57,622.03125,0.2326585952674465,0.043381060035167,622.03125,0.9192371518849668,0.0014985105081653,0.992874065400128,64.0,0.128
Base small-group ablation (n=1),base_c_n1_group_ablation_rerun180_2gpu_restart_20260405_213719,wr5lx7fw6wf99u6o9h4m0,139,139.0,0.1196280047297477,0.0043754505459219,-3.548996681956851e-05,-229.32693672180176,510.484375,,,,,,,,,,,
Base small-group ablation (n=1),base_c_n1_group_ablation_rerun180_2gpu_restart_20260405_213719,wr5lx7fw6wf99u6o9h4m0,140,140.0,0.1281761527061462,0.0044832494750153,1.378994267042799e-05,-240.0207223892212,524.875,,,,,,,,,,,
Base small-group ablation (n=1),base_c_n1_group_ablation_rerun180_2gpu_restart_20260405_213719,wr5lx7fw6wf99u6o9h4m0,141,141.0,0.1125091165304184,0.0042383261170471,-8.24010783162521e-05,-249.49996185302737,502.46875,,,,,,,,,,,
Base small-group ablation (n=1),base_c_n1_group_ablation_rerun180_2gpu_restart_20260405_213719,wr5lx7fw6wf99u6o9h4m0,142,142.0,0.1349657475948333,0.0041030167631106,-0.000140601038197,-243.4925575256348,555.3125,,,,,,,,,,,
Base small-group ablation (n=1),base_c_n1_group_ablation_rerun180_2gpu_restart_20260405_213719,wr5lx7fw6wf99u6o9h4m0,143,143.0,0.1209882423281669,0.003974504317739,5.7494119403145305e-06,-243.5041661262512,524.328125,,,,,,,,,,,
